"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"EST","Estonia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2003","2003","USD","US Dollar","0","Units",,,4568.35,,
"EST","Estonia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2004","2004","USD","US Dollar","0","Units",,,5089.93,,
"EST","Estonia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2005","2005","USD","US Dollar","0","Units",,,5304.48,,
"EST","Estonia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2006","2006","USD","US Dollar","0","Units",,,5664.34,,
"EST","Estonia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2007","2007","USD","US Dollar","0","Units",,,6376.4,,
"EST","Estonia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2008","2008","USD","US Dollar","0","Units",,,6981.55,,
"EST","Estonia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2009","2009","USD","US Dollar","0","Units",,,6987.03,,
"EST","Estonia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","Units",,,6785.37,,
"EST","Estonia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","Units",,,6463.37,,
"EST","Estonia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","Units",,,6486.73,,
"EST","Estonia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","Units",,,6964.13,,
"EST","Estonia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","Units",,,7734.04,,
"EST","Estonia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2015","2015","USD","US Dollar","0","Units",,,8538.59,,
"EST","Estonia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2016","2016","USD","US Dollar","0","Units",,,9400.37,,
"EST","Estonia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2017","2017","USD","US Dollar","0","Units",,,9935.31,,
"EST","Estonia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2018","2018","USD","US Dollar","0","Units",,,10218.34,,
"EST","Estonia","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2019","2019","USD","US Dollar","0","Units",,,10790.09,,
