LOCATION,Country,TYPE_VAR,Type of indicator,VARIABLE,Indicator,WB,Current/Future Well-being,SEX,Sex,AGE,Age,EDUCATION,Education,TIME,Time,Value,Flag Codes,Flags
EST,Estonia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2004,2004,71.97486412,,
EST,Estonia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2005,2005,73.71322603,,
EST,Estonia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2006,2006,78.39155934,,
EST,Estonia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2007,2007,79.23238459,,
EST,Estonia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2008,2008,79.07101494,,
EST,Estonia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2009,2009,72.82040675,,
EST,Estonia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2010,2010,70.03186078,,
EST,Estonia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2011,2011,73.38048514,,
EST,Estonia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2012,2012,74.90478536,,
EST,Estonia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2013,2013,76.1050966,,
EST,Estonia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2014,2014,76.74376814,,
EST,Estonia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2015,2015,78.44435122,,
EST,Estonia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2016,2016,78.23512995,,
EST,Estonia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2017,2017,79.99024529,,
EST,Estonia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2018,2018,80.42807001,,
EST,Estonia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2019,2019,81.28699619,,
EST,Estonia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2020,2020,80.71030588,,
EST,Estonia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2021,2021,81.00188644,B,Break
EST,Estonia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2004,2004,72.4,,
EST,Estonia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2005,2005,73,,
EST,Estonia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2006,2006,73.2,,
EST,Estonia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2007,2007,73.2,,
EST,Estonia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2008,2008,74.4,,
EST,Estonia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2009,2009,75.3,,
EST,Estonia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2010,2010,76,,
EST,Estonia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2011,2011,76.6,,
EST,Estonia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2012,2012,76.7,,
EST,Estonia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2013,2013,77.5,,
EST,Estonia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2014,2014,77.4,,
EST,Estonia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2015,2015,78,,
EST,Estonia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2016,2016,78,,
EST,Estonia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2017,2017,78.4,,
EST,Estonia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2018,2018,78.5,,
EST,Estonia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2019,2019,79,,
EST,Estonia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2020,2020,78.9,,
EST,Estonia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2021,2021,76.9,,
EST,Estonia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2004,2004,70.10765076,,
